"i_d","hotel_i_d","description","city_in_trans","image_url_1","image_url_2","image_url_3","image_url_4","image_url_5"
1,"us/riu-plaza-new-york-times-square","Located in New York, 328 feet from Restaurant Row, Riu Plaza New York Times Square offers WiFi. The hotel has a terrace and fitness center, and guests can enjoy a meal at the restaurant The Theater Buffet.

All rooms have a TV. Every room is fitted with a private bathroom with a bath or shower, with free toiletries and a hair dryer provided.

There is a 24-hour front desk at the property and Capital Grab & Go offers coffee.

Times Square is 1312 feet from Riu Plaza New York Times Square, while Broadway Theater is 1969 feet from the property. La Guardia Airport is 6.2 mi away.

 Dear customer, the RIU Plaza hotels may request a deposit in cash or credit card during the check-in process.

The Riu Plaza New York Times Square Hotel charges a required supplement for
facilities for an amount of 29 USD (plus 14.75% tax), per room per night.
This supplement allows the hotel to provide our clients with extra services such as:

 Access to high-speed Wi-Fi in the rooms and common areas of the hotel up to
for 2 devices per person (max. 10 devices per occupancy)
 Two welcome bottles of water (without refill).
 Unlimited use of the computers in the lobby area.
 Access to the gym.
 Luggage storage upon arrival and/or departure until 9:00 p.m.","","https://cf.bstatic.com/xdata/images/hotel/max200/178773353.jpg?k=9bd0190ff5a25ce00dac63185dbcb92565380b03e40711f2a243c33cff6ffd87&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/98120216.jpg?k=7dba1cf1ee19148b8541f6ffae9e067825491061dc28f375c61b041955b4faa7&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/302399559.jpg?k=630ea67ccf42e01cdff8fcdd325a64c03778c0839c8bfda9167d16b635a6db7b&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/178773334.jpg?k=2e1d2122ee9ffccd8a1ba4d87c918f1ded2c7b3c3b67a141347d09a14f6bf270&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/72152015.jpg?k=5f8049ae4e88c2ba434c33ed78fe9d6a66ac445f78089f7b1112b0507d487c3c&o=&hp=1"
2,"us/riu-plaza-manhattan-times-square","Ideally set in New York, Riu Plaza Manhattan Times Square has air-conditioned rooms, a restaurant, free WiFi and a bar. This 4-star hotel offers a 24-hour front desk and a business center. The property is non-smoking throughout and is located a 5-minute walk from Radio City Music Hall.

At the hotel, the rooms include a desk, a flat-screen TV, a private bathroom, bed linen and towels. All rooms will provide guests with a fridge.

Popular points of interest near Riu Plaza Manhattan Times Square include Broadway Theatre, Times Square and Carnegie Hall. LaGuardia Airport is 7.5 miles from the property.","","https://cf.bstatic.com/xdata/images/hotel/max200/340258150.jpg?k=1e233b609dfb85b45acb9b823194a350121486cacbfe229136283af7fc710a2b&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/342959726.jpg?k=ef92247094568d73dfbc3d3262da8d25ffff12ff74e9f9245ac2ee17b57607a0&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/280458382.jpg?k=e1457bdbdfcaaf14e2da031722de4a72ab74065a07bad70b6c30fd0e0f55082c&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/342959705.jpg?k=0e36b4823a520570e8d0ddec40cc044c516af0ba6dcbebd9c402c0662e3a0230&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/342959715.jpg?k=49c446597c32e97e011307d86640d41a996502a4c0b628e5e5cc9347a4b36d30&o=&hp=1"
3,"us/the-pearl-new-york","Located in New York City’s Times Square, this hotel features a fitness center and offers ticket services. Free WiFi is offered.

At The Pearl Hotel, guest rooms are equipped with iPod docking stations, cable TV and coffee facilities. Select rooms are furnished with a microwave and refrigerator.

Dining at The Pearl New York is available with 24-hour room service. The hotel offers an evening reception with wine.

Subway station can be found within 820 feet of the property. South Central Park and Rockefeller Center are 0.6 mi from the New York Pearl Hotel.","","https://cf.bstatic.com/xdata/images/hotel/max200/224000509.jpg?k=e4411f089bba8a55985b0f288335bd79190a198287166c9d9603cdf01ac59b0a&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/29120782.jpg?k=0f1e2bdeda568c34146de988133b17d89e638ce91b3f17207c1c2962494eecbe&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/224000519.jpg?k=5bccf107481b8cdb83622255b0d297f71eaa46497efcc48bf56a46f36c581cc4&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/233041898.jpg?k=09f5ed01bd77786edd4925b23389dd3fb3dad0c5287a277789aa89d803db7a6b&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/29120789.jpg?k=263bedc8671d7e7ee74acf78e4c23c8a42ab865a5c3b7c66309bbcde0d70fa20&o=&hp=1"
4,"us/city-club","Located 1066 feet from the lights of Times Square and Broadway, this Midtown Manhattan hotel features a restaurant. Guests can enjoy books and free WiFi in each room.

The City Club Hotel offers contemporary rooms with feather down beds and a dark marble bathroom. Cable TV, a DVD player and an iPod docking station are included.

Room service is available at all times.

Guests of the City Club can purchase passes to the Blink Fitness fitness center.

The Hotel City Club is less than 1148 feet from the 42nd Street-Bryant Park subway station and 2116 feet from the Rockefeller Center.","","https://cf.bstatic.com/xdata/images/hotel/max200/36715440.jpg?k=525b7e1639f77f3fac947494e3db323c8b8ad264019e5e2e752373c56d5bff2f&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/121357686.jpg?k=4ef924e76e4ff3bee9fa591cee9c29c1ce3afa4fab8440171bfe965c0a08b31d&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/121361918.jpg?k=ac8aca119b13c97d678d4c7b1ea1c40e303c938a0fff700766e7a70858dd47eb&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/121357477.jpg?k=2494999cc524ee92ea2ee68fa0d44fc307b3524e07ed4d2b9e9aefda3d772d52&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/40164612.jpg?k=5d3d622295ba49186410d0b0746905412237e29b1429a7945b5130e87abfeb00&o=&hp=1"
5,"us/riverside-tower","Offering complimentary WiFi, the Riverside Tower Hotel is 2641 feet from the American Museum of Natural History. This nonsmoking property is 1.3 mi from the Metropolitan Museum of Art. Some rooms also offer views of the Hudson River.

Riverside Tower Hotel guests are provided with complimentary maps of the New York Subway and bus lines. The 24-hour front desk and the hotel tour desk are available to guests to plan their trip to New York City.

Zabar’s is 1056 feet away from the Riverside Tower Hotel. Central Park is less than 0.6 mi from the hotel. Lincoln Center for the Performing Arts is 1.1 mi away.","","https://cf.bstatic.com/xdata/images/hotel/max200/519991039.jpg?k=662989558f8ac87c31f2985818f8c5339f799e06d2fc01f149531792d9f73bb3&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/519990582.jpg?k=320105479a7a7de8bda74d8ed861a5a2df917b6f3c2c079d274c77f99697ad90&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/520876559.jpg?k=7e0bc6e345b8a24c9c2e2dd26af65e2ba87f545b0d0a0e65d85c20aa2b45f9c0&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/166668999.jpg?k=744a2012723cf16e8ed76f5a2d449dc1aac75610bb2081f07c6aa2368e4f6792&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/519988613.jpg?k=62ef67f9fb3f2d914d4eebb43eb2a96bbb2ea0ab2a3eaa7e90742bc5bf3d48fd&o=&hp=1"
6,"us/project-nyc","Located in New York and with National September 11 Memorial & Museum reachable within a 2-minute walk, The Cloud One New York-Downtown, by the Motel One Group provides a terrace, non-smoking rooms, free WiFi and a bar. This 4-star hotel offers luggage storage space. One World Trade Center is a 6-minute walk from the hotel and Brooklyn Bridge is 1.3 miles away.

All guest rooms at the hotel come with air conditioning, a seating area, a flat-screen TV with satellite channels, a safety deposit box and a private bathroom with a shower, free toiletries and a hairdryer. The Cloud One New York-Downtown, by the Motel One Group has some units with city views, and every room includes a coffee machine. All rooms will provide guests with a fridge.

The accommodation offers a buffet or continental breakfast.

Speaking English and Spanish at the reception, staff are always on hand to help.

Bloomingdales is 1.2 miles from The Cloud One New York-Downtown, by the Motel One Group, while NYU – New York University is 1.7 miles away. LaGuardia Airport is 11 miles from the property.","","https://cf.bstatic.com/xdata/images/hotel/max200/482037917.jpg?k=8212b26a87d056f0b956e48205e440298a8435b48af1bd41aaaf52b4f746a62e&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/482038065.jpg?k=fca3dea9012a53bab531a7f643a0991db3f153694609a412e06d1ec8431cca7c&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/482037970.jpg?k=c7d4a8324d9153ea8574ba791e1e542677d09e0da034c4c395d0481343b0632d&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/482038128.jpg?k=6afc00a04a7e1d192a1acdc53680566db9bcc868aabe4f30a744e9c531a4a410&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/482037994.jpg?k=7d33e74abf9f7ee898d5ae681d0904a72c8d6ee73c29c64eb468bb21505e171c&o=&hp=1"
7,"us/courtyard-new-york-downtown-manhattan-financial-district","Courtyard New York Downtown Manhattan/Financial District has free bikes, fitness center, a terrace and restaurant in New York. This 3-star hotel offers a 24-hour front desk, a business center and free WiFi. The hotel features family rooms.

The hotel will provide guests with air-conditioned rooms offering a desk, a safety deposit box, a flat-screen TV and a private bathroom with a bath or shower. The rooms have a closet.

Popular points of interest near Courtyard New York Downtown Manhattan/Financial District include National September 11 Memorial & Museum, One World Trade Center and Brooklyn Bridge. LaGuardia Airport is 11 miles from the property.","","https://cf.bstatic.com/xdata/images/hotel/max200/573435778.jpg?k=8281ab62458da1b4ca5f117a5940ecc5009fed00b27dbf96ac357b92c88a92bd&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/465438943.jpg?k=2b28a2bbe047cd1b91b39a48046883faa1f608160acd32848b2287126cba4c17&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/627345234.jpg?k=3b3495252cf358d1f32511d4a50b555f6d56ba28d84e3dd10e8db3db03456ba7&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/465439395.jpg?k=1d08449857b9d129c6aaa4b33bfdfde31cdd8f4a114a69bc4ade9401ba1c3683&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/627345208.jpg?k=e05cc2398c8b282d869056d4b43f39b6c3361f1868cb0fe0efc7309f6a047669&o=&hp=1"
8,"us/new-yorker-ramada-plaza","This Art-Deco inspired high-rise hotel offers a midtown location and 24-hour dining. Times Square is less than 0.6 mi from the property and Pen Station is 531 feet away.

The rooms at The New Yorker, A Wyndham Hotel  are equipped with complimentary WiFi and flat-screen TVs. Some suites and rooms offer views of the Empire State Building or the Hudson River as well.

Take advantage of the concierge services at The New Yorker, A Wyndham Hotel  for assistance with Broadway tickets, guided tours, restaurant reservations are more. A gift shop, business center and a fitness center are available too.

Herald Square with Macy’s flagship store and other shopping destinations is 1056 feet away.","","https://cf.bstatic.com/xdata/images/hotel/max200/83778532.jpg?k=c862949d155c335ad281459d5f30856fbcc1c9b8f481df0bcf1130ebdd79d937&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/52800626.jpg?k=413a3d0876f880ff33524253053b02228153c80985fb5baceb6904290bae5fd2&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/47389660.jpg?k=b2f3ef22929a6a857c76682c52a0c338ea4e09f155e619b0aa7d57e01e96e120&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/53044788.jpg?k=26f7a8505697ca9ff96b7aeb1b392a4b97b1b5cbd49a6b777dc186a0026a4619&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/53044862.jpg?k=33021d770778ce473fbd2c3d006735e47dbb0de3999a49eff2a70a966607e7a1&o=&hp=1"
9,"us/pod-times-square","Located 1312 feet from Restaurant Row in New York, Pod Times Square features a restaurant, bar and free WiFi throughout the property.

Rooms are equipped with a flat-screen TV. Certain units include a seating area where you can relax. The rooms are equipped with a private bathroom fitted with a shower. For your comfort, you will find free toiletries and a hairdryer.

You will find a 24-hour front desk at the property.

Times Square is 1969 feet from Pod Times Square, while Jacob K. Javits Convention Center is 2625 feet away. The nearest airport is LaGuardia Airport, 6.2 mi from the property.","","https://cf.bstatic.com/xdata/images/hotel/max200/327103801.jpg?k=072b93fcdb6bbad7764fc2fa8130490e00b4719398dbf6060874a2840ac5e0b2&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/162990144.jpg?k=93c35791a679f70001be3ed715b3f0cbee448303dc11ae0625296e0699b5822e&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/129148007.jpg?k=815f041fa1d0220233632f1b140c0df7ba345fe22cf99964edead59d8363849c&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/483790954.jpg?k=5bb5696c9aef8fdcbf627fd04e60fb29c9c63c9bb173ae7ee1a00e2828d28cbb&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/162989829.jpg?k=1ba4ccf9cce4b820f3ea9b960665e4fa717b83e681bb2b088d51d300d0dd9c0d&o=&hp=1"
10,"us/the-fidi","Attractively located in the Financial District district of New York, The FIDI Hotel is located a 11-minute walk from National September 11 Memorial & Museum, 0.8 miles from One World Trade Center and 1.5 miles from Brooklyn Bridge. With a fitness center, the 4-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property has a 24-hour front desk, a concierge service and luggage storage for guests.

The rooms in the hotel are equipped with a flat-screen TV with cable channels. At The FIDI Hotel rooms contain bed linen and towels.

Bloomingdales is 1.9 miles from the accommodation, while NYU – New York University is 2.2 miles from the property. LaGuardia Airport is 11 miles away.","","https://cf.bstatic.com/xdata/images/hotel/max200/341425449.jpg?k=ae5efad48fdc684d6e726b1a8e92685489051e269c2af40097875116a766c657&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/341425515.jpg?k=5643032f5b44d9fef91aaee19545efb445a395018a68efb45e428f7ec25b4969&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/589421986.jpg?k=0581c01966cec135f5461a4b7687d6f9524144fcc8e7a6897dacfe12eefe61a2&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/589423538.jpg?k=a76a4f20ecd417a389e32e0c1a95025ab94ffacab4e5545564c37cfc904d2fae&o=&hp=1","https://cf.bstatic.com/xdata/images/hotel/max200/453237503.jpg?k=7e81322b5d37f8fb97e57ead442d19323a75b65e1759565e3307a120ef484ebd&o=&hp=1"
