"i_d","i_d_hotel","hotel_i_d","hotel_name","dest_i_d","location","rating","review_count","price","num_beds","num_bed_r","num_baths","bedroom","guests","property_type","amenities","city_in_trans"
1,55890,"us/hilton-new-york","New York Hilton Midtown","20088325","Manhattan, New York","7.4",2021,"US$1,406.43",1,0,0,8,1,"Hotels","Non-smoking rooms, Fitness center, Room service","in New York"
2,9243560,"us/aloft-new-york-chelsea","Aloft New York Chelsea","20088325","Chelsea, New York","8.1",146,"US$1,269.80",1,0,0,4,1,"Hotels","Non-smoking rooms, Fitness center, Pet friendly","in New York"
3,606889,"us/four-points-by-sheraton-financial-district","Four Points by Sheraton New York Downtown","20088325","Manhattan, New York","7.5",1979,"US$911.72",1,0,0,5,1,"Hotels","Non-smoking rooms, Fitness center, Restaurant","in New York"
4,7366978,"us/nap-york-new-york1","Nap York Central Park Sleep Station","20088325","Manhattan, New York","8.2",5128,"US$338.30",1,0,0,5,1,"Hostels","Wheelchair accessible, CCTV outside property, Private check-in/out","in New York"
5,4700797,"us/the-belvedere-new-york","The Belvedere Hotel","20088325","Hell's Kitchen, New York","7.9",5935,"US$888.88",1,0,0,8,1,"Hotels","Non-smoking rooms, Fitness center, Restaurant","in New York"
6,184085,"us/doubletree-new-york-city-chelsea","DoubleTree by Hilton Hotel New York City - Chelsea","20088325","Chelsea, New York","7.2",3521,"US$1,110.42",1,0,0,9,1,"Hotels","Non-smoking rooms, Fitness center, Room service","in New York"
7,270216,"us/hi-new-york-hostel-nyc","HI New York City Hostel","20088325","Upper West Side, New York","8.3",17525,"US$318.60",1,0,0,2,1,"Hostels","Non-smoking rooms, Facilities for disabled guests, Wifi in all areas","in New York"
8,56700,"us/sheraton-new-york-towers","Sheraton New York Times Square Hotel","20088325","Manhattan, New York","6.7",1796,"US$1,290",1,0,0,4,1,"Hotels","Non-smoking rooms, Fitness center, Pet friendly","in New York"
9,183566,"us/world-center","World Center Hotel","20088325","Manhattan, New York","8.2",3521,"US$912.90",1,0,0,10,1,"Hotels","Non-smoking rooms, Fitness center, Room service","in New York"
10,617915,"us/hilton-garden-inn-new-york-times-square","Hilton Garden Inn New York Times Square North","20088325","Manhattan, New York","7.8",2604,"US$1,365.10",1,0,0,3,1,"Hotels","Non-smoking rooms, Fitness center, Room service","in New York"
11,10027699,"us/romer-hell-39-s-kitchen","Romer Hell's Kitchen","20088325","Hell's Kitchen, New York","8.6",2358,"US$1,281.60",1,0,0,10,1,"Hotels","Non-smoking rooms, Fitness center, Pet friendly","in New York"
12,7078644,"us/towneplace-suites-by-marriott-new-york-manhattan-chelsea","TownePlace Suites by Marriott New York Manhattan/Chelsea","20088325","Chelsea, New York","8.1",7482,"US$1,122.40",1,0,1,5,1,"Hotels","Non-smoking rooms, Fitness center, Pet friendly","in New York"
13,1169919,"us/edison-triumph-group","Hotel Edison Times Square","20088325","Manhattan, New York","7.5",13589,"US$1,132.20",1,0,0,4,1,"Hotels","Non-smoking rooms, Fitness center, Room service","in New York"
14,4125131,"us/fairfield-inn-suites-by-marriott-new-york-manhattan-times-square-36th-st","Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South","20088325","Hell's Kitchen, New York","8.3",7119,"US$1,211.51",1,0,0,5,1,"Hotels","Non-smoking rooms, Pet friendly, Facilities for disabled guests","in New York"
